t,vs,vm,s,pm,pd,method
1950,-3.2289072098787144,-2.27973033723399,0.20642419865372333,0.12740994188170862,0.011402625033102355,DT
1951,-3.180302320134309,-2.2504675202199156,0.20943423898021335,0.12629431073007014,0.01171836818135189,DT
1952,-3.132404461933371,-2.2213756781369067,0.21248375182947515,0.12525322825821517,0.01205607814775354,DT
1953,-3.085186831292631,-2.192450004993831,0.2154408606923968,0.12419869953188334,0.012365978260579205,DT
1954,-3.0386240304945504,-2.1636859572561797,0.21830971192553492,0.12313045889244634,0.012648625713862532,DT
1955,-2.9926919895035735,-2.135079243623764,0.22110486490370918,0.12205471790370537,0.012908527121356672,DT
1956,-2.947367892568455,-2.10662581525503,0.22411800999948375,0.12115247634605408,0.013256464584982069,DT
1957,-2.902630109607008,-2.0783218564099712,0.22704326985581044,0.12024037046847069,0.013579491960474928,DT
1958,-2.858458132004531,-2.0501637754853723,0.2298844630240472,0.11931822808723547,0.013878131489997132,DT
1959,-2.814832512488783,-2.0221481964178674,0.23264519516627238,0.11838587122340172,0.014152876681358853,DT
1960,-2.7717348087730804,-1.9942719504320383,0.23532886855474752,0.1174431177234716,0.014404192984751192,DT
1961,-2.7291475306849335,-1.966532068112127,0.2382175040013729,0.11665333201486439,0.014739609536258313,DT
1962,-2.6870540905212548,-1.9389257717774913,0.24103979334020023,0.11586448537470717,0.015058518987575905,DT
1963,-2.6454387563926263,-1.9114504681431685,0.2437849703034818,0.11506842287739427,0.015356075230848995,DT
1964,-2.6042866083384304,-1.8841037412482047,0.24645618836508368,0.11426503412619737,0.015632717544499415,DT
1965,-2.5635834970125297,-1.8568833456355365,0.24905642771073472,0.11345420765009728,0.015888862811027703,DT
1966,-2.523316004755244,-1.8297871997682646,0.2516570193524269,0.11267310496367655,0.01615121996551809,DT
1967,-2.4834714088820573,-1.8028133796682435,0.2543934974355776,0.11199857535981816,0.01647366571921084,DT
1968,-2.444037647033116,-1.7759601127638152,0.25705865952955437,0.11131908583695527,0.01677741646673077,DT
1969,-2.4050032844395672,-1.7492257719343902,0.2596552797877239,0.11063457555231926,0.017062863940211778,DT
1970,-2.366357482974406,-1.722608869740491,0.262185983601931,0.10994498453727086,0.017330382033588675,DT
1971,-2.3280899718653894,-1.6961080528285832,0.2646532592713171,0.10925025321548953,0.017580327976149623,DT
1972,-2.2901910199573927,-1.6697220965008204,0.26705946890280674,0.10855032181918634,0.017813043396925545,DT
1973,-2.252651409419922,-1.6434498994404856,0.2696067050189129,0.10795002961448352,0.01810796563119181,DT
1974,-2.215462410803606,-1.6172904785846045,0.27214048874172264,0.10737245535006446,0.01840651858730818,DT
1975,-2.178615759356795,-1.5912429641358188,0.27461255296132336,0.10679162054771163,0.018689360123202433,DT
1976,-2.1421036325199703,-1.5653065947061653,0.27702510783287804,0.10620750189741035,0.018956812100092466,DT
1977,-2.105918628522019,-1.5394807125860321,0.27938024854515214,0.1056200785806799,0.019209183493131905,DT
